"_id","description"
"609a852b8703e501124761c9","Двухуровневый коворкинг с переговорными и зоной отдыха.  Москва"
"609a852d8703e501124761ca","Офис из трех комнат на втором этаже с потолками 2,5 метра.  Москва"
"609a85318703e501124761cb","Офис- опен-спейс с белыми стенами и большими окнами с видом на старую окну. Есть большой лифт и зона ресепшена.  Москва"
"609a85358703e501124761cc","Офис с зелёным полом и зелёными колоннами.  Москва"
"609a85378703e501124761cd","Коворкинг с кирпичной отделкой , небольшим кафе и кухней.  Москва"
"609a853c8703e501124761ce","Офис-коворкинг в черно-белых тонах.  Москва"
"609a853f8703e501124761cf","Небольшой светлый офис с конференц залом.  Москва"
"609a85438703e501124761d0","На территории центра располагаются ведущие московские галереи современного искусства, мастерские художников, дизайнеров и фотографов, кафе, творческие шоу-румы, детские студии, книжный магазин и многое другое.  Москва								  ЦАО"
"609a85488703e501124761d1","Небольшое пространство, включающее основной зал и зону кафе"
"609a854c8703e501124761d2","Публичная площадка, светлое пространство, высокие потолки, большие окна. Место для проведения деловых мероприятий."
"609a85508703e501124761d3","Большое помещение с бассейном, баней и верандой .  Москва"
"609a85548703e501124761d4","Пространство с множеством комнат (аудитории и лекторные залы).  Москва"
"609a85588703e501124761d5","Открытая стоянка в городе, зеленые насаждения, советская архитектура."
"609a855c8703e501124761d6","Открытая стоянка в городской среде, современная архитектура."
"609a85608703e501124761d7","Открытая стоянка в городской среде."
"609a85648703e501124761d8","Открытая автомобильная парковка в городской среде, завод и градирня на заднем плане. Эстакада."
"609a85688703e501124761d9","Открытая парковка в городе, стены с трещинами."
"609a856c8703e501124761da","Открытая стоянка для автомобилей, городская среда, живописная фактурная кирпичная стена. Зеленые насаждения."
"609a85708703e501124761db","Атмосферная стоянка для автомобилей, живописный внутренний двор, зеленые насаждения, советская трехэтажная застройка, арка с декоративными элементами - лепниной, балконы с кованным ограждением. Стены облицованный кирпич."
"609a85738703e501124761dc","Открытая стоянка в городской среде, архитектура советского периода,  ж/б и  металлические ограждения."
"609a85758703e501124761dd","Открытая парковка на крыше в городской среде, панорамный вид города, металлические ограждения, строения из кирпича."
"609a85798703e501124761de","Большая открытая парковка возле торгового центра, зеленые насаждения."
"609a857d8703e501124761df","Просторная автомобильная парковка в городской среде, современная архитектура."
"609a85818703e501124761e0","Парковка на крыше , панорамный вид города."
"609a85848703e501124761e1","Площадка, строение из красного кирпича, наружные, открытые инженерные элементы  коммуникации."
"609a85878703e501124761e2","Открытая площадка, строения из красного кирпича."
"609a858c8703e501124761e3","Открытая площадка в городской среде, строение из красного кирпича."
"609a858f8703e501124761e4","Многоуровневая наземная парковка.  Москва								  ЮАО"
"609a859f8703e501124761e8","Паркинг Многоуровневый наземный, лестница."
"609a85a58703e501124761ea","Паркинг подземный, многоуровневый , бетонные конструкции."
"609a85aa8703e501124761eb","Паркинг подземный, многоуровневый"
"609a85ae8703e501124761ec","Паркинг подземный, многоуровневый , металлические конструкции"
"609a85b08703e501124761ed","Паркинг подземный."
"609a85b48703e501124761ee","Многоуровневый паркинг."
"609a85b88703e501124761ef","Крытая автомобильная парковка. Желтые стены."
"609a85bc8703e501124761f0","Многоуровневая парковка. Ж/б конструкции, металлические ограждения."
"609a85c08703e501124761f1","Многоуровневая парковка с интересным решением фасада- бионика, уютная рекреационная зона."
"609a85c48703e501124761f2","Заправка   МО"
"609a85c98703e501124761f3","Заправка  МО"
"609a85cc8703e501124761f4","После асфальтированной дороги начинается грунтовая дорога, которая проходит через поле."
"609a85d08703e501124761f5","Хорошо асфальтированная многополосная дорога."
"609a85d38703e501124761f6","Хорошо асфальтированная автодорога по стороны от которой поле."
"609a85d78703e501124761f7","Автодорога, которая частично покрыта асфальтом, частично без покрытия, пролегает через поле."
"609a85da8703e501124761f8","Автодорога, покрытая старым асфальтом."
"609a85de8703e501124761f9","Отличная асфальтированная дорога. По обе стороны от нее лежит поле."
"609a85e08703e501124761fa","Дорога, покрытая отличным асфальтом, по обе стороны от которой лежит поле."
"609a85e38703e501124761fb","Дорога покрыта асфальтом, пролегает через городское поселение."
"609a85e78703e501124761fc","Автодорога отличного качества, покрытая асфальтовой крошкой."
"609a85ea8703e501124761fd","Через Манюхино проходит асфальтированная дорога."
"609a85ed8703e501124761fe","Автодром с качественным асфальтовым покрытием, предназначенный для проведениям авто- и мотогонок."
"609a85f08703e501124761ff","Автодром, предназначенный для проведения соревнований по автомобильным кольцевым гонкам и шоссейно-кольцевым мотогонкам."
"609a85f38703e50112476200","Качественная трасса для автогонок."
"609a85f68703e50112476201","Извилистая трасса, покрытая асфальтовой крошкой."
"609a85f98703e50112476202","Хорошо асфальтированная дорога, в городской среде, проходящая возле водного природного раздела."
"609a85fd8703e50112476203","Гаражный кооператив на окраине города. Однотонные металлические двери. Без домов по фонам.  Долгопрудный"
"609a86008703e50112476204","Гаражный кооператив в индустриальной зоне.  Москва								  САО"
"609a86048703e50112476205","Гаражный кооператив. Однотонные красные металлические ворота гаражей. Лес и высотные дома по фонам.  Москва								  СЗАО"
"609a86088703e50112476206","Автотехцентр с купольным залом и вращающимся кругом.  Москва								  СВАО"
"609a860a8703e50112476207","Автосервис с большой территорией, разборка автомобилей."
"609a860f8703e50112476208","Просторное помещение, открытые бетонные конструкции, стены из красного кирпича."
"609a86128703e50112476209","Техцентр ,  оборудование, автомобильные подъемники, светлое помещение."
"609a86168703e5011247620a","Шиномонтаж , небольшое помещение, оборудование, светлые стены"
"609a86198703e5011247620b","Гаражный комплекс в городской среде, советская постройка, панорама города, эстакада."
"609a86298703e5011247620f","Автосервис с большими окнами."
"609a862b8703e50112476210","Светлая автомойка с зоной отдыха и лестницей."
"609a862f8703e50112476211","Интересное по конструктивному решению помещение, использовано большое количество конструктивных элементов, металлические конструкции, круглое помещение автосервиса, арочное купольное перекрытие, красивые открытые конструкции, использование второго света в помещении, остекленное перекрытие. Отделка стен светлым кафелем. Большие окна."
"609a86338703e50112476212","Небольшое светлое помещение."
"609a86378703e50112476213","Светлое пространство с кирпичной отделкой."
"609a863b8703e50112476214","Одноэтажный автосервис с синими стенами.  Химки"
"609ab71568eeae011eeed51f","Небольшой зоомагазин в светлых тонах."
"609ab71968eeae011eeed520","Большой светлый продуктовый рынок. Стационарные точки продаж."
"609ab71b68eeae011eeed521","Небольшой продуктовый рынок классического типа."
"609ab71e68eeae011eeed522","Крупный современный рынок. Отделка выполнена в темных тонах. Включает променадную улицу и зоны кафе."
"609ab72468eeae011eeed523","Крупный современный рыночный комплекс, расположенный на 3 этажах."
"609ab72868eeae011eeed525","Небольшой магазин в современном стиле."
"609ab72c68eeae011eeed526","Небольшой магазин в светлых тонах."
"609ab73068eeae011eeed527","Уютный магазин сладостей."
"609ab73468eeae011eeed528","Крупный открытый продуктово-хозяйственный рынок."
"609ab73768eeae011eeed529","На территории находится пляж  и бассейн."
"609ab73b68eeae011eeed52a","На территории пляжа оборудованы спортивные площадки для активного отдыха и соревнований. Зона для пляжного волейбола. Зона для игры в футбол. Детская площадка. Батуты, горки и многое другое."
"609ab74368eeae011eeed52c","На территории пляжа находится бассейн, беседки , также"
"609ab74668eeae011eeed52d","Двухэтажная усадьба в лесной чаще с водоемом. Антикварная мебель и декор."
"609ab74b68eeae011eeed52e","Витрина, городская среда, большие окна, кирпичное здание."
"609ab74e68eeae011eeed52f","Светлый фасад здания с рустикой. Зеленая придомовая территория. Элементы декора, лепнина на фасадах."
"609ab75268eeae011eeed530","Дома в русском стиле, дома из деревянного бруса, аутентичный интерьер, природная тематика,  деревянная мебель внутри. Русская печь."
"609ab75568eeae011eeed531","Современный жилой комплекс, сдержанная цветовая палитра фасадов, интересная геометрия фасадов, большая площадь остекления, лаконичность."
"609ab75968eeae011eeed532","Разноцветные грузовые контейнеры.  Москва								  САО"
"609ab75d68eeae011eeed533","Эксплуатируемая крыша, панорамный вид, деревянное покрытие пола."
"609ab76268eeae011eeed534","Подземные коридоры с высокими сводами.  Москва								  ЦАО"
"609ab76668eeae011eeed535","Ухоженный подьезд типичной московской панельной многоэтажки.  Москва								  ЗАО"
"609ab76a68eeae011eeed536","Автомобильный тоннель, одностороннее движение, изгибы дороги.  Москва								  СЗАО"
"609ab76e68eeae011eeed537","Классический московский трамвай, чешская ""Татра"" в современной голубой окраске. Современный салон."
"609ab77568eeae011eeed539","Просторный дом в светлых тонах со своей территорией.  МО"
"609ab77968eeae011eeed53a","Небольшая уютная квартира в светлых тонах с яркими акцентами.   Красногорск"
"609ab77d68eeae011eeed53b","Большой логистический комплекс. Высокие потолки и частые металлические колонны.   Московская область								  САО"
"609ab78068eeae011eeed53c","Полуживой завод, полузаброшенная территория, советский антураж, станки 2-й половины ХХ века, контейнеры на территории, большие ангары.  Москва								  СВАО"
"609ab78568eeae011eeed53d","Завод довоенной постройки, необычные конструктивистские корпуса, цеха в заброшеном состоянии, атмосфера довоенной промзоны, железнодорожные пути и платформы, атмосфера места, в котором ведутся боевые действия.  Москва								  ЮВАО"
"609ab78968eeae011eeed53e","Крупный светлый складской комплекс с техническими и производственными помещениями."
"609ab78b68eeae011eeed53f","Промышленная зона с автомобилями, автосервисом и мойкой."
"609ab79468eeae011eeed541","Москва								  ЦАО"
"609ab79768eeae011eeed542","Большой заброшенный завод, на котором ещё сохранились старые станки."
"609ab79b68eeae011eeed543","Внутри заводы чисто, сохранился старый ремонт. На территории объекта есть станки."
"609ab79f68eeae011eeed544","Современный производственный комплекс с действующим оборудованием."
"609ab7a368eeae011eeed545","московская область"
"609ab7a768eeae011eeed546","Много комнат, длинных коридоров, подвал.  Москва"
"609ab7a968eeae011eeed547","Заброшенное медицинское здание.   Домодедово"
"609ab7ad68eeae011eeed548","Просторный светлый ангар. Без колонн. Синие стены.  Москва								  ЮАО"
"609ab7b168eeae011eeed549","Помещение свободного назначения.  Глухово"
"609ab7b568eeae011eeed54a","Помещение свободного назначения (ангар).  МО"
"609ab7b968eeae011eeed54b","Помещение свободного назначения (ангар) с металлической отделкой.  МО"
"609ab7bd68eeae011eeed54c","Ангар в черно белых тонах.  Москва"
"609ab7c168eeae011eeed54d","Ангар с гримерной комнатой.  Москва"
"609ab7c368eeae011eeed54e","Многофункциональный территория с ангаром и различными помещениями. Большая прилетающая территория с водоемом.  Москва"
"609ab7c768eeae011eeed54f","Ангар 4 этажа с винтовым подъемом.   Москва"
"609ab7cc68eeae011eeed550","Квартира с красивым видом в светлы тонах с жёлтыми акцентами.   Москва"
"609ab7d068eeae011eeed551","Светлая квартира в серых тонах с большими окнами.  Москва"
"609ab7d468eeae011eeed552","Просторная квартира в дизайнерском стиле с высокими потолками,  большими окнами, длинным коридором и верандой .  Москва"
"609ab7d868eeae011eeed553","Квартира в темно-бежевых тонах с светлой кухней и с рисунком в детской .  Одинцово"
"609ab7db68eeae011eeed554","Квартира в старинном стиле с цветными стенами и винтажной мебелью.  Москва"
"609ab7e068eeae011eeed555","Студия творчества с разрисованными стенами .  Москва"
"609ab7e468eeae011eeed556","Квартира на втором этаже. Светлая квартира с большим балконом .  Москва"
"609ab7e768eeae011eeed557","Квартира в дизайнерском стиле со светлыми стенами и стеклянной цветной перегородкой.  Москва"
"609ab7ea68eeae011eeed558","Офис + коворкинг с цветными стенами (5 комнат).  Москва"
"609ab7ee68eeae011eeed559","Пентхаус с множеством окон и бассейном.  Москва"
"609ab7f168eeae011eeed55a","Квартира в дизайнерском стиле с темной кухней.  Москва"
"609ab7f468eeae011eeed55b","Небольшая уютная квартира.  Москва"
"609ab7f868eeae011eeed55c","Квартира-шоурум в дизайнерском стиле с большой люстрой.  Москва"
"609ab7fd68eeae011eeed55d","Квартира в советском стиле с небольшой библиотекой .  Москва"
"609ab7ff68eeae011eeed55e","Небольшая квартира в светлых тонах с гардеробной .  М"
"609ab80168eeae011eeed55f","Замок-дом с просторными комнатами в светлых тонах.  МО"
"609ab80568eeae011eeed560","Двухэтажный кирпичный дом с собственной территорией и небольшой детской площадкой. Интерьер в серых тонах.  МО"
"609ab80968eeae011eeed561","Светлый двухэтажный дом со своей территорией и небольшой террасой. Интерьер с деревянной отделкой.  МО"
"609ab80d68eeae011eeed562","Светлый большой дом. Интерьер в классическом стиле, с большой светлой кухней.  МО"
"609ab81068eeae011eeed563","Дом с небольшой сауной и цветными стенами."
"609ab81468eeae011eeed564","Большой двухэтажный дом . Интерьер в классическом стиле с цветными стенами.  МО"
"609ab81868eeae011eeed565","Дом в классическом стиле, большинство стен в доме с рисунками.  МО"
"609ab81a68eeae011eeed566","Дом с деревянной отделкой.  МО"
"609ab81e68eeae011eeed567","Уютный дом в классическом стиле с цветными стенами.  МО"
"609ab82268eeae011eeed568","Трехэтажный дом со своей территорией и просторным интерьером.  МО"
"609ab82668eeae011eeed569","Новый дом со светлым интерьером.  МО"
"609ab82968eeae011eeed56a","Белый дом со своей территорией, на ней расположены   Москва"
"609ab82b68eeae011eeed56b","Просторный особняк в классическом стиле. В интерьере дома: бассейн, камин, просторные комнаты, светлая кухня, гардеробная, большая терраса и винная комната. Большая территория с деревьями,   МО"
"609ab82f68eeae011eeed56c","Двухэтажный деревянный дом с собственной большой территорией, на ней расположено  Московская область"
"609ab83268eeae011eeed56d","Двухэтажный дом с интерьером в светлых тонах с цветными стенами.  МО"
"609ab83668eeae011eeed56e","Отель с интерьером в светло-бежевых - коричневых тонах. В отеле: аква зона (бассейн, джакузи), тренажёрный зал, конференц-зал и банкетный зал.  МО"
"609ab83968eeae011eeed56f","Автобус марки ЛИАЗ в фирменном синем цвете ""Мосгортранс"".  Москва								  СЗАО"
"609ab83e68eeae011eeed570","Автобус ЛИАЗ с ""гармошкой"", в фирменном цвете Мосгортранс.  Москва								  СЗАО"
"609ab84168eeae011eeed571","Пассажирские автобусы частного перевозчика. Разные цвета салона и кузова.  Москва"
"609ab84668eeae011eeed572","Длинный извилистый тоннель, три полосы движения.  Москва								  СЗАО"
"609ab84868eeae011eeed573","Короткий тоннель со световыми проемами в сводах.  Москва								  СЗАО"
"609ab84d68eeae011eeed574","Автомобильный тоннель, три полосы движения, световые окна  в крыше.  Москва								  САО"
"609ab85068eeae011eeed575","Непродолжительный трехполосный подземный тоннель с желтыми стенами и световыми окнами в крыше.  Москва								  САО"
"609ab85368eeae011eeed576","Автомобильный тоннель, двухстороннее движение, изгибы дороги."
"609ab85668eeae011eeed577","Автомобильный тоннель, одностороннее движение, изгибы дороги."
"609ab85c68eeae011eeed579","елезобетонный ост еку Москву."
"609ab86668eeae011eeed57c","Мост через реку Москва, железобетонные конструкции, панорамный вид."
"609ab86f68eeae011eeed57e","Живописное граффити на колоннах моста, железнодорожные полосы."
"609ab87268eeae011eeed57f","Подъезд сталинского дома с винтовой лестницей необычной треугольной формы.  Москва								  СЗАО"
"609ab87768eeae011eeed580","Подъезд доходного дома начала XX века. Широкие лестничные пролеты, оригинальные деревянные двери, медальоны с античными сюжетами на стенах.  Москва								  ЦАО"
"609ab87868eeae011eeed581","Парадная с красивой полукруглой лестницей, большими окнами, светлыми стенами.  Москва								  ЦАО"
"609ab87c68eeae011eeed582","Чистый, ухоженный подъезд с винтовой лестницей и шахтой лифта.   Москва								  ЦАО"
"609ab88068eeae011eeed583","Типичный подъезд доходного дома рубежа XIX-XX столетий, метлахская плитка, светлае стены, винтовая лестница и шахта лифта.  Москва								  ЦАО"
"609ab88468eeae011eeed584","Небольшая уютная лестничная клетка в старом доходном доме.  Москва								  ЦАО"
"609ab88868eeae011eeed585","Москва"
"609ab8a668eeae011eeed58d","Эксплуатируемая крыша, в городской застройке, панорамный вид на  красивую набережную и реку, металлическое ограждение. Объект с большой площадью остекления."
"609ab8a968eeae011eeed58e","Крыша с панорамой города, Москва река, набережная, вид на Москва Сити."
"609ab8ad68eeae011eeed58f","Крыша с красивым видом на город, набережная, Москва река, хороший ракурс комплекса Москва Сити."
"609ab8b068eeae011eeed590","Крыша, панорама города."
"609ab8b468eeae011eeed591","Крыша в высотном здании, панорама города."
"609ab8b768eeae011eeed592","Крыша с видом на современную городскую застройку."
"609ab8ba68eeae011eeed593","Крыша  с панорамным видом города."
"609ab8bf68eeae011eeed594","Крыша многоэтажного здания с панорамным видом города."
"609ab8c268eeae011eeed595","Крыша с панорамным видом на город."
"609ab8c668eeae011eeed596","Крыша многоэтажного здания, центр города, панорамный вид города."
"609ab8c868eeae011eeed597","Крыша высотного здания с панорамным видом города."
"609ab8cb68eeae011eeed598","Эксплуатируемая крыша высотного здания, панорамный вид города, большая площадь остекления фасада."
"609ab8ce68eeae011eeed599","Крыша высотного здания, панорамный вид города."
"609ab8d268eeae011eeed59a","Крыша высотного здания, панорамный вид города."
"609ab8d668eeae011eeed59b","Крыша высотного здания, панорамный вид города. Вид на комплекс Москва Сити."
"609ab8d968eeae011eeed59c","Разноцветные грузовые контейнеры. Технические проезды и площадки."
"609ab8dd68eeae011eeed59d","Современный жилой комплекс, использована интересная геометрия фасадов, лаконичное цветовое решение фасадов,  внутридворовая рекреационная зона, детская и спортивная площадки."
"609ab8f368eeae011eeed5a3","Современные детская и спортивная площадки."
"609ab8f768eeae011eeed5a4","Современные детская и спортивная\r\nплощадки."
"609ab8ff68eeae011eeed5a6","Современный жилой комплекс,  ярко выраженная геометрия фасадов, художественные элементы - вставки, большая площадь остекления."
"609ab90368eeae011eeed5a7","Жилой район, комплекс, постройка советского периода, придомовые парковки, рекреационная зона отдыха, детские площадки. Многоэтажные жилые строения. Набережная."
"609ab90568eeae011eeed5a8","Современный жилой комплекс, высотная застройка, фасады в теплой цветовой  гамме, большие окна, многофункциональная рекреационная зона, детские и спортивные площадки, зеленые насаждения. Набережная реки."
"609ab90968eeae011eeed5a9","Живописная набережная с жилым комплексом, стиль модерн, красивые элементы декора на фасадах, колонны, лестница , вензеля, ковка. Мост через реку."
"609ab90b68eeae011eeed5aa","Живописная набережная вдоль жилой застройки, многофункциональная зона рекреации, спортивные и детские площадки. Река. Панорамный вид."
"609ab90f68eeae011eeed5ab","Комплекс располагается на берегу реки, так же там расположены живописные набережные и искусственный каналы.   МО"
"609ab91368eeae011eeed5ac","Двор в стиле ранней советской архитектуры, трехэтажные здания, атмосферное пространство, вид на Останкинскую телебашню."
"609ab91668eeae011eeed5ad","Атмосферный двор преимущественно двух, трехэтажная жилая застройка, арочный внутридомовой проезд , ворота."
"609ab91a68eeae011eeed5ae","Двор застройки в советском стиле, кирпичная постройка."
"609ab91c68eeae011eeed5af","Застройка 18 го века из красного кирпича, атмосферный двор, арочный своды окон."
"609ab91e68eeae011eeed5b0","Двор современного жилого комплекса, остекленная входная группа,  лестница. Жилой комплекс на рельефе."
"609ab92268eeae011eeed5b1","Внутридворовое пространство современного жилого комплекса, рекреация, стоянки для автомобилей, зеленые насаждения."
"609ab92668eeae011eeed5b2","Придомовая территория, двор, постройка советского периода, арка, парковка, зеленые насаждения, уютный двор."
"609ab92a68eeae011eeed5b3","Двор, городская среда, автомобильная открытая парковка. Постройки советского периода."
